,max_depth,max_features,min_samples_leaf,validation_score
0,5,0.5,1,0.8884469379247629
1,5,0.5,50,0.8931542750627084
2,5,0.5,500,0.8831667779299397
3,5,0.8,1,0.9089781676762456
4,5,0.8,50,0.9150326513169115
5,5,0.8,500,0.89931566874903
6,5,auto,1,0.919658565556009
7,5,auto,50,0.9197595650638012
8,5,auto,500,0.9037963102527143
9,10,0.5,1,0.9645240060819881
10,10,0.5,50,0.9597432792191805
11,10,0.5,500,0.9077923209552973
12,10,0.8,1,0.9702474768771334
13,10,0.8,50,0.9659733807431645
14,10,0.8,500,0.9206265151721726
15,10,auto,1,0.9729091464924501
16,10,auto,50,0.9685328693515158
17,10,auto,500,0.9235909511308847
18,20,0.5,1,0.983194278317926
19,20,0.5,50,0.9743261670435466
20,20,0.5,500,0.9133719554682802
21,20,0.8,1,0.9840330137238178
22,20,0.8,50,0.9775311450968085
23,20,0.8,500,0.91868279235864
24,20,auto,1,0.9846080265669408
25,20,auto,50,0.9786212849246623
26,20,auto,500,0.9238070438780631
27,50,0.5,1,0.9839079540375877
28,50,0.5,50,0.9737137842447235
29,50,0.5,500,0.9027136688508778
30,50,0.8,1,0.9842329334803219
31,50,0.8,50,0.9770896687269233
32,50,0.8,500,0.9202590924023614
33,50,auto,1,0.9845204806262592
34,50,auto,50,0.9786342200959587
35,50,auto,500,0.9238070438780631
